year,counts
1965,1111
1966,1577
1967,1596
1968,991
1969,1189
1970,1263
1971,956
1972,1000
1973,1243
1974,1264
1975,1179
1976,1392
1977,1652
1978,1727
1979,1456
1980,1680
1981,990
1982,1048
1983,968
1984,959
1985,1039
1986,1036
1987,1149
1988,1018
1989,980
1990,757
1991,733
1992,925
1993,955
1994,1294
1995,930
1996,1512
1997,1114
1998,1116
1999,1060
2000,1278
2001,1353
2002,1428
2003,1682
2004,1296
2005,1442
2006,2006
2007,2056
2008,1698
2009,1881
2010,1908
2011,2145
2012,1488
2013,1508
2014,3572
